lake_name,age_CE,summer_temperature,winter_temperature,summer_precipitation,winter_precipitation,layer,detrended_thickness,record_ID
Lake C2,1860,-2.382584635416663,-30.09306437174476,27.793986002604168,13.70466391245524,varve,-0.25880000000000003,Lake C2 - varve
Lake C2,1861,-2.5130981445312273,-29.880148315429665,25.33332697550456,13.773759524027506,varve,0.03289999999999993,Lake C2 - varve
Lake C2,1862,-2.5809895833332916,-30.894990030924447,30.310397466023762,13.622465133666992,varve,0.16959999999999997,Lake C2 - varve
Lake C2,1863,-2.560044352213538,-30.22398986816404,27.241286595662434,13.086748441060385,varve,-0.25810000000000005,Lake C2 - varve
Lake C2,1864,-2.607468668619788,-29.838151041666634,28.265757242838543,13.407143592834473,varve,0,Lake C2 - varve
Lake C2,1865,-2.5373494466145416,-30.236364746093727,28.134697596232098,13.13636334737142,varve,-0.21760000000000007,Lake C2 - varve
Lake C2,1866,-2.5239217122395416,-30.898647054036445,29.012275060017902,14.100518544514975,varve,2.4781000000000004,Lake C2 - varve
Lake DV09,1766,0.3943929036458371,-33.31769409179685,37.316749572753906,9.964045842488607,varve,1.342,Lake DV09 - varve
Lake DV09,1767,0.2819051106770871,-33.912552897135384,37.15433883666992,10.429976463317871,varve,0.242,Lake DV09 - varve
Lake DV09,1768,0.12031453450521212,-33.72050577799476,36.65288416544596,10.917417844136557,varve,-0.08299999999999996,Lake DV09 - varve
Lake DV09,1769,-0.21845092773435226,-34.33286641438801,35.500579833984375,10.466297467549643,varve,0.10300000000000004,Lake DV09 - varve
Lake DV09,1770,0.09490356445314774,-33.89063618977863,41.044044494628906,11.037750562032064,varve,-0.01299999999999995,Lake DV09 - varve
Lake DV09,1771,-0.26041259765622726,-33.92642822265623,37.827501932779946,9.649410088857016,varve,-0.04299999999999998,Lake DV09 - varve
Lake DV09,1772,-0.11173095703122726,-34.04586893717445,38.4633420308431,10.015058835347494,varve,0,Lake DV09 - varve
Lake DV09,1773,0.11316324869795835,-33.7483225504557,42.50424448649088,10.981758753458658,varve,2.075,Lake DV09 - varve
Lake DV09,1774,0.49105224609377274,-34.121730550130195,39.587860107421875,10.615636825561523,varve,0.356,Lake DV09 - varve
Lake DV09,1775,0.33294067382814774,-34.41448059082029,38.67016092936198,9.42089589436849,varve,-0.13299999999999998,Lake DV09 - varve
Lake DV09,1776,0.17622273763021212,-33.97091776529945,38.825374603271484,10.79690138498942,varve,0,Lake DV09 - varve
Lake DV09,1777,0.23781738281252274,-33.60363871256507,40.6294059753418,10.099487940470377,varve,-0.02699999999999997,Lake DV09 - varve
Lake DV09,1778,-0.35085652669266665,-34.06222635904945,39.07742436726888,11.331685066223145,varve,0.18100000000000005,Lake DV09 - varve
Lake DV09,1779,0.13684488932295835,-32.900406901041634,36.0999501546224,10.365901629130045,varve,0.243,Lake DV09 - varve
Lake DV09,1780,0.13872680664064774,-33.60479838053382,38.34724807739258,10.952889442443848,varve,0,Lake DV09 - varve
Lake DV09,1781,0.21672973632814774,-33.55973917643226,37.844807942708336,12.246485074361166,varve,-0.07,Lake DV09 - varve
Lake DV09,1782,0.004886881510458352,-33.83964131673176,39.42456181844076,10.942963282267252,varve,-0.11299999999999996,Lake DV09 - varve
