lake_name,age_CE,layer,detrended_thickness
Big Round Lake,1840,varve,-0.15800000000000003
Big Round Lake,1839,varve,0.5909999999999999
Big Round Lake,1838,varve,0.7110000000000001
Big Round Lake,1837,varve,-0.288
Big Round Lake,1836,varve,-0.1499999999999999
Big Round Lake,1835,varve,0.09100000000000008
Big Round Lake,1834,varve,-0.16200000000000003
Big Round Lake,1833,varve,-0.287
Big Round Lake,1832,varve,-0.13
Big Round Lake,1831,varve,0.9469999999999998
Big Round Lake,1830,varve,0.47799999999999987
Big Round Lake,1829,varve,0.32199999999999995
Big Round Lake,1828,varve,0.43400000000000005
Big Round Lake,1827,varve,0.9540000000000001
Big Round Lake,1826,varve,0.252
Big Round Lake,1825,varve,-0.018000000000000016
Big Round Lake,1824,varve,-0.258
Big Round Lake,1823,varve,-0.277
Big Round Lake,1822,varve,0.0040000000000000036
Big Round Lake,1821,varve,-0.056999999999999995
Big Round Lake,1820,varve,-0.09400000000000003
Big Round Lake,1819,varve,0.09800000000000003
Big Round Lake,1818,varve,-0.227
Big Round Lake,1817,varve,-0.2
Big Round Lake,1816,varve,-0.29100000000000004
Big Round Lake,1815,varve,-0.223
Big Round Lake,1814,varve,0.014000000000000012
Big Round Lake,1813,varve,0.11600000000000005
Big Round Lake,1812,varve,-0.22799999999999998
Big Round Lake,1811,varve,-0.10299999999999998
Big Round Lake,1810,varve,-0.249
Big Round Lake,1809,varve,-0.28500000000000003
Big Round Lake,1808,varve,0.502
Big Round Lake,1807,varve,0.32599999999999996
Big Round Lake,1806,varve,0.08999999999999997
Big Round Lake,1805,varve,0.15899999999999992
Big Round Lake,1804,varve,0.125
Big Round Lake,1803,varve,-0.28700000000000003
Big Round Lake,1802,varve,0.6599999999999999
Big Round Lake,1801,varve,0
Big Round Lake,1800,varve,-0.29900000000000004
Big Round Lake,1799,varve,0.04499999999999993
Big Round Lake,1798,varve,0.8130000000000001
Big Round Lake,1797,varve,-0.14599999999999996
Big Round Lake,1796,varve,0
Big Round Lake,1795,varve,0.03300000000000003
Big Round Lake,1794,varve,0.912
Big Round Lake,1793,varve,0.612
Big Round Lake,1792,varve,0.487
Big Round Lake,1791,varve,-0.02100000000000002
Big Round Lake,1790,varve,-0.28600000000000003
Big Round Lake,1789,varve,-0.298
Big Round Lake,1788,varve,-0.264
Big Round Lake,1787,varve,-0.17099999999999999
Big Round Lake,1786,varve,0.358
Big Round Lake,1785,varve,0.015000000000000013
Big Round Lake,1784,varve,0.546
Big Round Lake,1783,varve,0.453
Big Round Lake,1782,varve,-0.11100000000000002
Big Round Lake,1781,varve,0.15499999999999997
Big Round Lake,1780,varve,-0.03500000000000003
Big Round Lake,1779,varve,0.8980000000000001
Big Round Lake,1778,varve,-0.094
Big Round Lake,1777,varve,0.05300000000000005
Big Round Lake,1776,varve,0.643
Big Round Lake,1775,varve,0.010000000000000009
Big Round Lake,1774,varve,-0.144
Big Round Lake,1773,varve,-0.11799999999999997
Big Round Lake,1772,varve,-0.05999999999999997
Big Round Lake,1771,varve,-0.07699999999999999
Big Round Lake,1770,varve,-0.07699999999999999
Big Round Lake,1769,varve,0.5820000000000001
Big Round Lake,1768,varve,0.051000000000000045
Big Round Lake,1767,varve,-0.06799999999999998
Big Round Lake,1766,varve,-0.132
Blue Lake,1866,varve,-0.15000000000000002
Blue Lake,1865,varve,0.05999999999999994
