lake_name,layer,age_CE,tresh_pos_z5,tresh_neg_z2_5,thickness,mm,mad,scaled_magnitude,scaled_magnitude_sign,record_label
East Lake_1,varve,1855,6.582000000000001,-0.24300000000000033,8.043,2.032,0.9100000000000001,6.605494505494503,positive,East Lake_1 - varve
East Lake_1,varve,1848,7.2090000000000005,-0.4935000000000005,16.044,2.074,1.0270000000000001,13.602726387536514,positive,East Lake_1 - varve
East Lake_1,varve,1824,1.6710000000000003,0.40349999999999986,0.339,0.826,0.16900000000000004,-2.8816568047337268,negative,East Lake_1 - varve
East Lake_1,varve,1812,4.700000000000001,0.09499999999999909,5.842,1.63,0.6140000000000003,6.859934853420191,positive,East Lake_1 - varve
East Lake_1,varve,1799,5.605999999999998,0.7685000000000004,6.519,2.381,0.6449999999999998,6.415503875968994,positive,East Lake_1 - varve
East Lake_1,varve,1767,3.07,0.3700000000000001,3.471,1.27,0.36,6.113888888888889,positive,East Lake_1 - varve
East Lake_2,varve,1859,0.3247999999999999,0.06305000000000002,0.7313,0.1503,0.03489999999999999,16.647564469914045,positive,East Lake_2 - varve
East Lake_2,varve,1846,0.5855000000000001,0.005749999999999977,0.8139,0.199,0.07730000000000001,7.954721862871927,positive,East Lake_2 - varve
East Lake_2,varve,1844,0.7715999999999998,-0.0698999999999999,1.0012,0.2106,0.11219999999999997,7.0463458110516966,positive,East Lake_2 - varve
East Lake_2,varve,1841,0.8179999999999998,-0.11049999999999988,0.9324,0.199,0.12379999999999997,5.924071082390955,positive,East Lake_2 - varve
East Lake_2,varve,1833,0.3554000000000001,0.022399999999999934,0.3874,0.1334,0.04440000000000002,5.720720720720718,positive,East Lake_2 - varve
East Lake_2,varve,1827,0.2327,0.06620000000000001,0.0624,0.1217,0.022199999999999998,-2.6711711711711716,negative,East Lake_2 - varve
East Lake_2,varve,1818,0.15470000000000003,0.05119999999999998,0.0497,0.0857,0.013800000000000007,-2.6086956521739117,negative,East Lake_2 - varve
East Lake_2,varve,1804,0.4657,-0.010550000000000004,0.5207,0.1482,0.0635,5.866141732283466,positive,East Lake_2 - varve
East Lake_2,varve,1793,0.5623,0.09355,0.5821,0.2498,0.0625,5.316799999999999,positive,East Lake_2 - varve
East Lake_2,varve,1791,0.5623,0.09355,0.635,0.2498,0.0625,6.1632,positive,East Lake_2 - varve
East Lake_2,varve,1778,0.21290000000000003,0.10939999999999998,0.2985,0.1439,0.013800000000000007,11.202898550724631,positive,East Lake_2 - varve
East Lake_2,varve,1771,0.25370000000000004,0.09544999999999998,0.0773,0.1482,0.021100000000000008,-3.3601895734597145,negative,East Lake_2 - varve
Elk Lake,varve,1856,3,1.125,0.83,1.75,0.25,-3.68,negative,Elk Lake - varve
Elk Lake,varve,1848,2.6799999999999997,1.4050000000000002,1.25,1.83,0.16999999999999993,-3.4117647058823546,negative,Elk Lake - varve
Elk Lake,varve,1845,2.6799999999999997,1.4050000000000002,1.33,1.83,0.16999999999999993,-2.9411764705882364,negative,Elk Lake - varve
Elk Lake,varve,1786,3.42,1.545,1.33,2.17,0.25,-3.3599999999999994,negative,Elk Lake - varve
Etoliko,dark layer,1862,2.57,0.9950000000000001,0.96,1.52,0.20999999999999996,-2.6666666666666674,negative,Etoliko - dark layer
Etoliko,dark layer,1857,2.2899999999999996,1.2400000000000002,2.8,1.59,0.1399999999999999,8.642857142857148,positive,Etoliko - dark layer
Etoliko,dark layer,1853,2.4899999999999998,1.1400000000000001,1.01,1.59,0.17999999999999994,-3.2222222222222237,negative,Etoliko - dark layer
Etoliko,dark layer,1809,2.41,0.8350000000000002,0.66,1.36,0.20999999999999996,-3.3333333333333344,negative,Etoliko - dark layer
Etoliko,dark layer,1769,3.1400000000000006,0.5149999999999997,0.13,1.39,0.3500000000000001,-3.5999999999999983,negative,Etoliko - dark layer
Etoliko,light layer,1863,1.4799999999999995,0.13000000000000012,0.1,0.58,0.17999999999999994,-2.6666666666666674,negative,Etoliko - light layer
Etoliko,light layer,1803,1.4799999999999995,0.13000000000000012,1.49,0.58,0.17999999999999994,5.055555555555557,positive,Etoliko - light layer
Etoliko,light layer,1774,1.3600000000000003,0.15999999999999998,0.03,0.56,0.16000000000000003,-3.3124999999999996,negative,Etoliko - light layer
Green Lake,varve,1833,4.374972543693151,0.812522186485513,4.500101715656313,2.0000056388880587,0.4749933809610183,5.263433506610131,positive,Green Lake - varve
Green Lake,varve,1823,3.4750454886843105,1.2249820005406298,0.6750017469762456,1.97500316325519,0.3000084650858241,-4.333215784118125,negative,Green Lake - varve
Holzmaar,varve,1865,4.952380952380954,2.8095238095238084,2.6666666666666665,3.5238095238095237,0.28571428571428603,-2.999999999999997,negative,Holzmaar - varve
Holzmaar,varve,1855,7.4285714285714315,3.142857142857141,2.952380952380953,4.571428571428571,0.5714285714285721,-2.8333333333333286,negative,Holzmaar - varve
Holzmaar,varve,1827,6.571428571428571,1.5714285714285718,9.047619047619047,3.238095238095238,0.6666666666666665,8.714285714285715,positive,Holzmaar - varve
Holzmaar,varve,1819,8,0.8571428571428568,28.571428571428573,3.238095238095238,0.9523809523809526,26.599999999999998,positive,Holzmaar - varve
Holzmaar,varve,1788,5.142857142857142,2.2857142857142856,5.142857142857143,3.238095238095238,0.38095238095238093,5.000000000000001,positive,Holzmaar - varve
Holzmaar,varve,1787,5.142857142857142,2.2857142857142856,5.333333333333333,3.238095238095238,0.38095238095238093,5.499999999999999,positive,Holzmaar - varve
Holzmaar,varve,1786,5.142857142857142,2.2857142857142856,5.809523809523809,3.238095238095238,0.38095238095238093,6.75,positive,Holzmaar - varve
Hvítárvatn_1,varve,1838,22.879999999999995,3.9800000000000004,25.75,10.28,2.5199999999999996,6.13888888888889,positive,Hvítárvatn_1 - varve
Hvítárvatn_1,varve,1828,20.72,4.52,21.92,9.92,2.16,5.555555555555556,positive,Hvítárvatn_1 - varve
Hvítárvatn_2,varve,1838,14.939999999999998,3.2400000000000007,18.05,7.14,1.5599999999999996,6.993589743589745,positive,Hvítárvatn_2 - varve
Iceberg Lake_1,varve,1850,6.125,1.5875000000000001,1.5333,3.1,0.605,-2.589586776859504,negative,Iceberg Lake_1 - varve
Iceberg Lake_1,varve,1843,5.279299999999999,1.9103000000000006,1.77,3.0333,0.4491999999999998,-2.8123330365093513,negative,Iceberg Lake_1 - varve
Iceberg Lake_1,varve,1841,6.369999999999998,2.0387500000000007,1.93,3.4825,0.5774999999999997,-2.68831168831169,negative,Iceberg Lake_1 - varve
