age_BP,varve_thick,peaks_pos,peaks_neg,lake_name,age_CE
151,-0.014021190656193117,0,0,Ayr Lake,1799
152,-0.0690181795336987,0,0,Ayr Lake,1798
153,-0.026697221097335022,0,0,Ayr Lake,1797
154,0.10933581337781138,0,0,Ayr Lake,1796
155,0.07996828172602556,0,0,Ayr Lake,1795
156,0.06273782103577585,0,0,Ayr Lake,1794
157,-0.004632515470683232,0,0,Ayr Lake,1793
158,0.003088598554487107,0,0,Ayr Lake,1792
159,-0.007341723055231036,0,0,Ayr Lake,1791
160,-0.06808931661611359,0,0,Ayr Lake,1790
161,-0.029519490628208134,0,0,Ayr Lake,1789
162,0.4281361515145802,0,0,Ayr Lake,1788
163,0.28705992210185033,0,0,Ayr Lake,1787
164,-0.015027310234152366,0,0,Ayr Lake,1786
165,0.05513032611313429,0,0,Ayr Lake,1785
166,0.28087886305783466,0,0,Ayr Lake,1784
167,0.2928008004916509,0,0,Ayr Lake,1783
168,0.07146661253160323,0,0,Ayr Lake,1782
169,0.02092062822365026,0,0,Ayr Lake,1781
170,0.008119211998446757,0,0,Ayr Lake,1780
171,-0.031520077897486454,0,0,Ayr Lake,1779
172,-0.024118947535557773,0,0,Ayr Lake,1778
173,-0.012138600097100397,0,0,Ayr Lake,1777
174,-0.007159713808081045,0,0,Ayr Lake,1776
175,0.08793771556658875,0,0,Ayr Lake,1775
176,0.2815348902956102,0,0,Ayr Lake,1774
177,0.2009045159100989,0,0,Ayr Lake,1773
178,0.24379013554631235,0,0,Ayr Lake,1772
179,0.0713154234429732,0,0,Ayr Lake,1771
180,-0.04195604947964131,0,0,Ayr Lake,1770
181,0.014919035614625945,0,0,Ayr Lake,1769
182,0.17993360330376115,0,0,Ayr Lake,1768
183,0.0063503595944431335,0,0,Ayr Lake,1767
184,-0.016218393002978095,0,0,Ayr Lake,1766
185,-0.059521114866405114,0,0,Ayr Lake,1765
84,-0.009140053839488908,0,0,Big Round Lake,1866
85,-0.013638180360611868,0,0,Big Round Lake,1865
86,-0.014477334515936337,0,0,Big Round Lake,1864
87,0.0024626998151791556,0,0,Big Round Lake,1863
88,0.005068617388831999,0,0,Big Round Lake,1862
89,0.037333380112158365,0,0,Big Round Lake,1861
90,0.13827821487103248,0,0,Big Round Lake,1860
91,0.24583886913917394,0,0,Big Round Lake,1859
92,0.02550108013830133,0,0,Big Round Lake,1858
93,-0.02390976457516065,0,0,Big Round Lake,1857
94,-0.023088402372510655,0,0,Big Round Lake,1856
95,-0.017609406735627327,0,0,Big Round Lake,1855
96,0.009500354370966982,0,0,Big Round Lake,1854
