lake_name,lat,lon,age_CE,layer,thickness,source,ref,country,continent,anomaly,value_of_anomaly,unit4anomaly
East Lake,74.88821123,-109.5341661,2005,varve,0.529,VARDA,"Cuven, S., Francus, P. & Lamoureux, S., 2011. Mid to Late Holocene hydroclimatic and geochemical records from the varved sediments of East Lake, Cape Bounty, Canadian High Arctic. Quaternary Science Reviews, 30(19-20), pp.2651–2665. Available at: http://dx.doi.org/10.1016/j.quascirev.2011.05.019.",Canada,North America,Winter precipitation in 1816/1817,83.83445500856146,%
Elk Lake,47.18905099,-95.21790112,1871,varve,3.42,VARDA,"Dean, W.E. & Megard, R.O., 1993. Elk Lake, Minnesota: Evidence for Rapid Climate Change in the North-Central United States, pp.97–114. Available at: http://dx.doi.org/10.1130/SPE276-p97.",United States,North America,Summer temperature in 1816,-0.5962541536135859,°C
Elk Lake,47.18905099,-95.21790112,1871,varve,3.42,VARDA,"Dean, W.E. & Megard, R.O., 1993. Elk Lake, Minnesota: Evidence for Rapid Climate Change in the North-Central United States, pp.97–114. Available at: http://dx.doi.org/10.1130/SPE276-p97.",United States,North America,Summer precipitation in 1816,95.41450552400056,%
Elk Lake,47.18905099,-95.21790112,1871,varve,3.42,VARDA,"Dean, W.E. & Megard, R.O., 1993. Elk Lake, Minnesota: Evidence for Rapid Climate Change in the North-Central United States, pp.97–114. Available at: http://dx.doi.org/10.1130/SPE276-p97.",United States,North America,Winter temperature in 1816/1817,-1.177104735925241,°C
Elk Lake,47.18905099,-95.21790112,1871,varve,3.42,VARDA,"Dean, W.E. & Megard, R.O., 1993. Elk Lake, Minnesota: Evidence for Rapid Climate Change in the North-Central United States, pp.97–114. Available at: http://dx.doi.org/10.1130/SPE276-p97.",United States,North America,Winter precipitation in 1816/1817,87.51997836092573,%
Etoliko,38.473228,21.324779,2012,light layer,0,VARDA,"Koutsodendris, A. et al., 2017. Climate variability in SE Europe since 1450 AD based on a varved sediment record from Etoliko Lagoon (Western Greece). Quaternary Science Reviews, 159, pp.63–76. Available at: http://dx.doi.org/10.1016/j.quascirev.2017.01.010.",NA,NA,Summer temperature in 1816,-0.943471574940702,°C
Etoliko,38.473228,21.324779,2012,light layer,0,VARDA,"Koutsodendris, A. et al., 2017. Climate variability in SE Europe since 1450 AD based on a varved sediment record from Etoliko Lagoon (Western Greece). Quaternary Science Reviews, 159, pp.63–76. Available at: http://dx.doi.org/10.1016/j.quascirev.2017.01.010.",NA,NA,Summer precipitation in 1816,147.95480881657477,%
Etoliko,38.473228,21.324779,2012,light layer,0,VARDA,"Koutsodendris, A. et al., 2017. Climate variability in SE Europe since 1450 AD based on a varved sediment record from Etoliko Lagoon (Western Greece). Quaternary Science Reviews, 159, pp.63–76. Available at: http://dx.doi.org/10.1016/j.quascirev.2017.01.010.",NA,NA,Winter temperature in 1816/1817,-0.3474035483382636,°C
Etoliko,38.473228,21.324779,2012,light layer,0,VARDA,"Koutsodendris, A. et al., 2017. Climate variability in SE Europe since 1450 AD based on a varved sediment record from Etoliko Lagoon (Western Greece). Quaternary Science Reviews, 159, pp.63–76. Available at: http://dx.doi.org/10.1016/j.quascirev.2017.01.010.",NA,NA,Winter precipitation in 1816/1817,88.88198332088591,%
Green Lake,50.2,-122.9,1999,varve,4.725153277017605,NOAA,"Schiefer, E., Menounos, B., Slaymaker, O., 2006. Extreme sediment delivery events recorded in the contemporary sediment record of a montane lake, southern Coast Mountains, British Columbia. Canadian Journal of Earth Sciences, 43(12), 1777-1790. Available at: https://doi.org/10.1139/e06-056",Canada,North America,Summer temperature in 1816,0.30300732099573224,°C
Green Lake,50.2,-122.9,1999,varve,4.725153277017605,NOAA,"Schiefer, E., Menounos, B., Slaymaker, O., 2006. Extreme sediment delivery events recorded in the contemporary sediment record of a montane lake, southern Coast Mountains, British Columbia. Canadian Journal of Earth Sciences, 43(12), 1777-1790. Available at: https://doi.org/10.1139/e06-056",Canada,North America,Summer precipitation in 1816,98.14926348706612,%
